content,score,at,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming,sentimen,,
Payahhh Sekelas hajat nasional aplikasinya receh banget.,1,2024-02-23 08:49:09,payahhh sekelas hajat nasional aplikasinya receh banget,payahhh sekelas hajat nasional aplikasinya receh banget,payahhh sekelas hajat nasional aplikasinya receh banget,"['payahhh', 'sekelas', 'hajat', 'nasional', 'aplikasinya', 'receh', 'banget']",payahhh kelas hajat nasional aplikasi receh banget,negatif,,
"Aplikasi belum selayaknya dipergunakan, karena banyak sekali bug dan akses ke server yg melambat ketika di gunakan secara bersama/serentak sehingga sering kali terjadi kegagalan saat mengaksesnya atau bahkan tidak bisa digunakan. Kesiapan aplikasi untuk kegiatan pemilu dinilai gagal, padahal perhelatan pemilu hanya 5 tahun sekali. Persiapan 5 tahun untuk mengembangkan aplikasi kok gagal? Apakah tidak ada tim pengembang aplikasi yang profesional? Atau anggaran pengembangan aplikasi sangat minim?",1,2024-02-23 08:47:28,aplikasi belum selayaknya dipergunakan karena banyak sekali bug dan akses ke server yg melambat ketika di gunakan secara bersamaserentak sehingga sering kali terjadi kegagalan saat mengaksesnya atau bahkan tidak bisa digunakan kesiapan aplikasi untuk kegiatan pemilu dinilai gagal padahal perhelatan pemilu hanya 5 tahun sekali persiapan 5 tahun untuk mengembangkan aplikasi kok gagal apakah tidak ada tim pengembang aplikasi yang profesional atau anggaran pengembangan aplikasi sangat minim,aplikasi belum selayaknya dipergunakan karena banyak sekali bug dan akses ke server yang melambat ketika di gunakan secara bersamaserentak sehingga sering kali terjadi kegagalan saat mengaksesnya atau bahkan tidak bisa digunakan kesiapan aplikasi untuk kegiatan pemilu dinilai gagal padahal perhelatan pemilu hanya 5 tahun sekali persiapan 5 tahun untuk mengembangkan aplikasi mengapa gagal apakah tidak ada tim pengembang aplikasi yang profesional atau anggaran pengembangan aplikasi sangat minim,aplikasi selayaknya bug akses server melambat bersamaserentak kali kegagalan mengaksesnya kesiapan aplikasi kegiatan pemilu dinilai gagal perhelatan pemilu 5 persiapan 5 mengembangkan aplikasi gagal tim pengembang aplikasi profesional anggaran pengembangan aplikasi minim,"['aplikasi', 'selayaknya', 'bug', 'akses', 'server', 'melambat', 'bersamaserentak', 'kali', 'kegagalan', 'mengaksesnya', 'kesiapan', 'aplikasi', 'kegiatan', 'pemilu', 'dinilai', 'gagal', 'perhelatan', 'pemilu', '5', 'persiapan', '5', 'mengembangkan', 'aplikasi', 'gagal', 'tim', 'pengembang', 'aplikasi', 'profesional', 'anggaran', 'pengembangan', 'aplikasi', 'minim']",aplikasi layak bug akses server lambat bersamaserentak kali gagal akses kesiap aplikasi giat milu nilai gagal helat milu 5 siap 5 kembang aplikasi gagal tim kembang aplikasi profesional anggar kembang aplikasi minim,negatif,,
Aplikasi cacat. Saya admin sirekap. Gak ada hubungan dukung paslon manapun tp asli parah banget nih aplikasi. Kalau gak siap mending gak usah dipake,1,2024-02-23 08:36:13,aplikasi cacat saya admin sirekap gak ada hubungan dukung paslon manapun tp asli parah banget nih aplikasi kalau gak siap mending gak usah dipake,aplikasi cacat saya admin sirekap tidak ada hubungan dukung paslon manapun tp asli parah banget nih aplikasi kalau tidak siap mending tidak usah dipake,aplikasi cacat admin sirekap hubungan dukung paslon manapun tp asli parah banget nih aplikasi mending dipake,"['aplikasi', 'cacat', 'admin', 'sirekap', 'hubungan', 'dukung', 'paslon', 'manapun', 'tp', 'asli', 'parah', 'banget', 'nih', 'aplikasi', 'mending', 'dipake']",aplikasi cacat admin sirekap hubung dukung paslon mana tp asli parah banget nih aplikasi mending dipake,negatif,,
"APLIKASI SAMPAH... GAK GUNA, TAPI BERHASIL MENYERAP ANGGARAN PEMERINTAH.. SEJAK 2019 SAMPEK SEKARANG KOK GK MEMPERBAIKI SISTEM DATABASE, GK PERNAH BRLAJAR DARI PENGALAMAN.!!!",1,2024-02-23 08:17:15,aplikasi sampah gak guna tapi berhasil menyerap anggaran pemerintah sejak 2019 sampek sekarang kok gk memperbaiki sistem database gk pernah brlajar dari pengalaman,aplikasi sampah tidak guna tapi berhasil menyerap anggaran pemerintah sejak 2019 sampek sekarang mengapa tidak memperbaiki sistem database tidak pernah brlajar dari pengalaman,aplikasi sampah berhasil menyerap anggaran pemerintah 2019 sampek memperbaiki sistem database brlajar pengalaman,"['aplikasi', 'sampah', 'berhasil', 'menyerap', 'anggaran', 'pemerintah', '2019', 'sampek', 'memperbaiki', 'sistem', 'database', 'brlajar', 'pengalaman']",aplikasi sampah hasil serap anggar perintah 2019 sampek baik sistem database brlajar alam,negatif,,
"Aplikasi se kelas negara yg paling tidak memuaskan, permasalahan server yang tidak mumpuni untuk digunakan serentak, ketidak jelasan kamera dalam pemotretan, menimbulkan salah baca dan lebih buruknya KPU menyebut si pemegang aplikasi memiliki SDM rendah. Semua kesalahan aplikasi dibebankan kepada pemegang sirekap. Apa apaan ini, sungguh sikap yg tidak profesional",1,2024-02-23 08:02:43,aplikasi se kelas negara yg paling tidak memuaskan permasalahan server yang tidak mumpuni untuk digunakan serentak ketidak jelasan kamera dalam pemotretan menimbulkan salah baca dan lebih buruknya kpu menyebut si pemegang aplikasi memiliki sdm rendah semua kesalahan aplikasi dibebankan kepada pemegang sirekap apa apaan ini sungguh sikap yg tidak profesional,aplikasi se kelas negara yang paling tidak memuaskan permasalahan server yang tidak mumpuni untuk digunakan serentak ketidak jelasan kamera dalam pemotretan menimbulkan salah baca dan lebih buruknya kpu menyebut si pemegang aplikasi memiliki sdm rendah semua kesalahan aplikasi dibebankan kepada pemegang sirekap apa apaan ini sungguh sikap yang tidak profesional,aplikasi kelas negara memuaskan permasalahan server mumpuni serentak ketidak jelasan kamera pemotretan menimbulkan salah baca buruknya kpu menyebut si pemegang aplikasi memiliki sdm rendah kesalahan aplikasi dibebankan pemegang sirekap sungguh sikap profesional,"['aplikasi', 'kelas', 'negara', 'memuaskan', 'permasalahan', 'server', 'mumpuni', 'serentak', 'ketidak', 'jelasan', 'kamera', 'pemotretan', 'menimbulkan', 'salah', 'baca', 'buruknya', 'kpu', 'menyebut', 'si', 'pemegang', 'aplikasi', 'memiliki', 'sdm', 'rendah', 'kesalahan', 'aplikasi', 'dibebankan', 'pemegang', 'sirekap', 'sungguh', 'sikap', 'profesional']",aplikasi kelas negara muas masalah server mumpuni serentak tidak jelas kamera potret timbul salah baca buruk kpu sebut si pegang aplikasi milik sdm rendah salah aplikasi beban pegang sirekap sungguh sikap profesional,negatif,,
Oke,5,2024-02-23 07:50:13,oke,oke,oke,['oke'],oke,positif,,
"Aplikasi kok gak ada meu EDIT nya sekelas KPU padahal ,",1,2024-02-23 07:39:12,aplikasi kok gak ada meu edit nya sekelas kpu padahal,aplikasi mengapa tidak ada meu edit nya sekelas kpu padahal,aplikasi meu edit nya sekelas kpu,"['aplikasi', 'meu', 'edit', 'nya', 'sekelas', 'kpu']",aplikasi meu edit nya kelas kpu,negatif,,
Dosa jariyah terhadap seluruh rakyat Indonesia,1,2024-02-23 06:55:34,dosa jariyah terhadap seluruh rakyat indonesia,dosa jariyah terhadap seluruh rakyat indonesia,dosa jariyah rakyat indonesia,"['dosa', 'jariyah', 'rakyat', 'indonesia']",dosa jariyah rakyat indonesia,negatif,,
Udah bisa diuninstall blm sih ni aplikasi?,1,2024-02-23 06:34:56,udah bisa diuninstall blm sih ni aplikasi,sudah bisa diuninstall blm sih ni aplikasi,diuninstall blm sih ni aplikasi,"['diuninstall', 'blm', 'sih', 'ni', 'aplikasi']",diuninstall blm sih ni aplikasi,negatif,,
"APLIKASI BAD BANGETT, BIKIN STRESS BUKANNYA MEMBANTU MALAH MEMPERSULIT!!! BINTANG 0",1,2024-02-23 06:15:43,aplikasi bad bangett bikin stress bukannya membantu malah mempersulit bintang 0,aplikasi bad bangett bikin stress bukannya membantu malah mempersulit bintang 0,aplikasi bad bangett bikin stress membantu mempersulit bintang 0,"['aplikasi', 'bad', 'bangett', 'bikin', 'stress', 'membantu', 'mempersulit', 'bintang', '0']",aplikasi bad bangett bikin stress bantu sulit bintang 0,negatif,,
"Error mulu, aplikasi gagal... 5 tahun ngapain aja? Makan gaji buta nih bagian yg ngerjain aplikasi. Ngga layak pakai tapi maksain.",1,2024-02-23 05:59:34,error mulu aplikasi gagal 5 tahun ngapain aja makan gaji buta nih bagian yg ngerjain aplikasi ngga layak pakai tapi maksain,error mulu aplikasi gagal 5 tahun ngapain saja makan gaji buta nih bagian yang ngerjain aplikasi ngga layak pakai tapi maksain,error mulu aplikasi gagal 5 ngapain makan gaji buta nih ngerjain aplikasi ngga layak pakai maksain,"['error', 'mulu', 'aplikasi', 'gagal', '5', 'ngapain', 'makan', 'gaji', 'buta', 'nih', 'ngerjain', 'aplikasi', 'ngga', 'layak', 'pakai', 'maksain']",error mulu aplikasi gagal 5 ngapain makan gaji buta nih ngerjain aplikasi ngga layak pakai maksain,negatif,,
"Sekelas pemerintah KPU bikin aplikasi gagal, digunakan tidak bisa",1,2024-02-23 05:59:18,sekelas pemerintah kpu bikin aplikasi gagal digunakan tidak bisa,sekelas pemerintah kpu bikin aplikasi gagal digunakan tidak bisa,sekelas pemerintah kpu bikin aplikasi gagal,"['sekelas', 'pemerintah', 'kpu', 'bikin', 'aplikasi', 'gagal']",kelas perintah kpu bikin aplikasi gagal,negatif,,
Aplikasi ngalilieur kpps,2,2024-02-23 05:44:17,aplikasi ngalilieur kpps,aplikasi ngalilieur kpps,aplikasi ngalilieur kpps,"['aplikasi', 'ngalilieur', 'kpps']",aplikasi ngalilieur kpps,negatif,,
"Prlu di develop ulang,masih banyak kekurangan,bug,leled dll",2,2024-02-23 04:32:42,prlu di develop ulangmasih banyak kekuranganbugleled dll,prlu di develop ulangmasih banyak kekuranganbugleled dll,prlu develop ulangmasih kekuranganbugleled dll,"['prlu', 'develop', 'ulangmasih', 'kekuranganbugleled', 'dll']",prlu develop ulangmasih kekuranganbugleled dll,negatif,,
"Klw belum bisa membuat aplikasi yg minus error,serahkan pada ahlinya.apalagi ini untuk aplikasi pemilu yg ""mungkin"" tujuan nya untuk mengurangi kecurangan .",1,2024-02-23 04:31:22,klw belum bisa membuat aplikasi yg minus errorserahkan pada ahlinyaapalagi ini untuk aplikasi pemilu yg mungkin tujuan nya untuk mengurangi kecurangan,klw belum bisa membuat aplikasi yang minus errorserahkan pada ahlinyaapalagi ini untuk aplikasi pemilu yang mungkin tujuan nya untuk mengurangi kecurangan,klw aplikasi minus errorserahkan ahlinyaapalagi aplikasi pemilu tujuan nya mengurangi kecurangan,"['klw', 'aplikasi', 'minus', 'errorserahkan', 'ahlinyaapalagi', 'aplikasi', 'pemilu', 'tujuan', 'nya', 'mengurangi', 'kecurangan']",klw aplikasi minus errorserahkan ahlinyaapalagi aplikasi milu tuju nya kurang curang,negatif,,
apk gajelas,1,2024-02-23 04:17:33,apk gajelas,aplikasi gajelas,aplikasi gajelas,"['aplikasi', 'gajelas']",aplikasi gajelas,positif,,
"Syalan, aplikasi yg buat gw jadi gk tidur. Gambar diproses mulu kayanya anggaran buat aplikasi ini cuma 1jt ya wajar si",1,2024-02-23 03:49:06,syalan aplikasi yg buat gw jadi gk tidur gambar diproses mulu kayanya anggaran buat aplikasi ini cuma 1jt ya wajar si,syalan aplikasi yang untuk gw jadi tidak tidur gambar diproses mulu kayanya anggaran untuk aplikasi ini cuma 1jt iya wajar si,syalan aplikasi gw tidur gambar diproses mulu kayanya anggaran aplikasi 1jt iya wajar si,"['syalan', 'aplikasi', 'gw', 'tidur', 'gambar', 'diproses', 'mulu', 'kayanya', 'anggaran', 'aplikasi', '1jt', 'iya', 'wajar', 'si']",syal aplikasi gw tidur gambar proses mulu kaya anggar aplikasi 1jt iya wajar si,negatif,,
"APK sampah, banyak bugnya malah KPU salahkan petugas KPPS",1,2024-02-23 03:29:24,apk sampah banyak bugnya malah kpu salahkan petugas kpps,aplikasi sampah banyak bugnya malah kpu salahkan petugas kpps,aplikasi sampah bugnya kpu salahkan petugas kpps,"['aplikasi', 'sampah', 'bugnya', 'kpu', 'salahkan', 'petugas', 'kpps']",aplikasi sampah bugnya kpu salah tugas kpps,negatif,,
"Aplikasi mempersulit kerja Belum layak dipakai, kamera tidak singkron dengan kamera utama Sara adakan foto manual yang bisa ambil dari galeri untuk mempermudah pekerjaan",2,2024-02-23 03:24:01,aplikasi mempersulit kerja belum layak dipakai kamera tidak singkron dengan kamera utama sara adakan foto manual yang bisa ambil dari galeri untuk mempermudah pekerjaan,aplikasi mempersulit kerja belum layak dipakai kamera tidak singkron dengan kamera utama sara adakan foto manual yang bisa ambil dari galeri untuk mempermudah pekerjaan,aplikasi mempersulit kerja layak dipakai kamera singkron kamera utama sara adakan foto manual ambil galeri mempermudah pekerjaan,"['aplikasi', 'mempersulit', 'kerja', 'layak', 'dipakai', 'kamera', 'singkron', 'kamera', 'utama', 'sara', 'adakan', 'foto', 'manual', 'ambil', 'galeri', 'mempermudah', 'pekerjaan']",aplikasi sulit kerja layak pakai kamera singkron kamera utama sara adakan foto manual ambil galeri mudah kerja,negatif,,
"Kurang lebih sehari setelah penyesuaian nilai dengan foto yang diupload, nilainya berubah dengan sendirinya. User tidak dapat mengoreksi nilai lagi karna sudah terlanjur di ""submit"".",2,2024-02-23 02:41:41,kurang lebih sehari setelah penyesuaian nilai dengan foto yang diupload nilainya berubah dengan sendirinya user tidak dapat mengoreksi nilai lagi karna sudah terlanjur di submit,kurang lebih sehari setelah penyesuaian nilai dengan foto yang diupload nilainya berubah dengan sendirinya user tidak dapat mengoreksi nilai lagi karna sudah terlanjur di submit,sehari penyesuaian nilai foto diupload nilainya berubah user mengoreksi nilai karna terlanjur submit,"['sehari', 'penyesuaian', 'nilai', 'foto', 'diupload', 'nilainya', 'berubah', 'user', 'mengoreksi', 'nilai', 'karna', 'terlanjur', 'submit']",hari sesuai nilai foto diupload nilai ubah user koreksi nilai karna lanjur submit,negatif,,
Gapteķ,1,2024-02-23 02:35:47,gapte,gapte,gapte,['gapte'],gapte,negatif,,
Aplikasi penghambat kinerja KPPS tidak berguna terus gobloknya lagi udah gak layak pake KPU nya masih saja maksa untuk di gunakan.,1,2024-02-23 02:33:53,aplikasi penghambat kinerja kpps tidak berguna terus gobloknya lagi udah gak layak pake kpu nya masih saja maksa untuk di gunakan,aplikasi penghambat kinerja kpps tidak berguna terus gobloknya lagi sudah tidak layak pakai kpu nya masih saja maksa untuk di gunakan,aplikasi penghambat kinerja kpps berguna gobloknya layak pakai kpu nya maksa,"['aplikasi', 'penghambat', 'kinerja', 'kpps', 'berguna', 'gobloknya', 'layak', 'pakai', 'kpu', 'nya', 'maksa']",aplikasi hambat kerja kpps guna goblok layak pakai kpu nya maksa,negatif,,
Mantap aplikasi keren,5,2024-02-23 02:21:42,mantap aplikasi keren,mantap aplikasi keren,mantap aplikasi keren,"['mantap', 'aplikasi', 'keren']",mantap aplikasi keren,positif,,
habis updte versi terbaru kok malah hilang semua foto yg udh di kunci..,1,2024-02-23 01:56:36,habis updte versi terbaru kok malah hilang semua foto yg udh di kunci,habis updte versi terbaru mengapa malah hilang semua foto yang udh di kunci,habis updte versi terbaru hilang foto udh kunci,"['habis', 'updte', 'versi', 'terbaru', 'hilang', 'foto', 'udh', 'kunci']",habis updte versi baru hilang foto udh kunci,negatif,,
Tolong lebih diperbaiki lagi Ada beberapa fitur yg tidak berfungsi Mau edit hasil tidak bisa (YG DISALAHKAN PENGGUNAANNYA) baik apa gk klo kek gitu😊,1,2024-02-23 01:27:48,tolong lebih diperbaiki lagi ada beberapa fitur yg tidak berfungsi mau edit hasil tidak bisa yg disalahkan penggunaannya baik apa gk klo kek gitu,mohon lebih diperbaiki lagi ada beberapa fitur yang tidak berfungsi ingin edit hasil tidak bisa yang disalahkan penggunaannya baik apa tidak klo kek gitu,mohon diperbaiki fitur berfungsi edit hasil disalahkan penggunaannya klo kek gitu,"['mohon', 'diperbaiki', 'fitur', 'berfungsi', 'edit', 'hasil', 'disalahkan', 'penggunaannya', 'klo', 'kek', 'gitu']",mohon baik fitur fungsi edit hasil salah guna klo kek gitu,negatif,,
"Bermanfaat mudah di gunakan, produk lokal nih bos!!",1,2024-02-23 00:53:24,bermanfaat mudah di gunakan produk lokal nih bos,bermanfaat mudah di gunakan produk lokal nih bos,bermanfaat mudah produk lokal nih bos,"['bermanfaat', 'mudah', 'produk', 'lokal', 'nih', 'bos']",manfaat mudah produk lokal nih bos,positif,,
Untuk kedepanya Kalo bisa yang diunggah pdf aja kalo foto satu satu malah lambat kecuali kita punya server yang oke..ini yang akses satu indonesia lo bukan satu kabupaten.,1,2024-02-23 00:48:11,untuk kedepanya kalo bisa yang diunggah pdf aja kalo foto satu satu malah lambat kecuali kita punya server yang okeini yang akses satu indonesia lo bukan satu kabupaten,untuk kedepanya kalau bisa yang diunggah pdf saja kalau foto satu satu malah lambat kecuali kita punya server yang okeini yang akses satu indonesia lo bukan satu kabupaten,kedepanya diunggah pdf foto lambat kecuali server okeini akses indonesia lo kabupaten,"['kedepanya', 'diunggah', 'pdf', 'foto', 'lambat', 'kecuali', 'server', 'okeini', 'akses', 'indonesia', 'lo', 'kabupaten']",depa unggah pdf foto lambat kecuali server okeini akses indonesia lo kabupaten,negatif,,
🐷,1,2024-02-23 00:05:15,,,,[],,netral,,
apk gaguna,1,2024-02-22 23:57:52,apk gaguna,aplikasi gaguna,aplikasi gaguna,"['aplikasi', 'gaguna']",aplikasi gaguna,negatif,,
"Mengapa tidak bisa membuka langsung, harus mengaktifkan kunci layar lah tekek kah ! Aplikasi bermasalah, yang server nya di luar negeri ! 🙄",1,2024-02-22 22:58:14,mengapa tidak bisa membuka langsung harus mengaktifkan kunci layar lah tekek kah aplikasi bermasalah yang server nya di luar negeri,mengapa tidak bisa membuka langsung harus mengaktifkan kunci layar lah tekek kah aplikasi bermasalah yang server nya di luar negeri,membuka langsung mengaktifkan kunci layar tekek kah aplikasi bermasalah server nya negeri,"['membuka', 'langsung', 'mengaktifkan', 'kunci', 'layar', 'tekek', 'kah', 'aplikasi', 'bermasalah', 'server', 'nya', 'negeri']",buka langsung aktif kunci layar tekek kah aplikasi masalah server nya negeri,negatif,,
"Apk gak guna, bikin kisruh negara aja. Tanggung jawab di akhirat ya amsari.",1,2024-02-22 22:31:38,apk gak guna bikin kisruh negara aja tanggung jawab di akhirat ya amsari,aplikasi tidak guna bikin kisruh negara saja tanggung jawab di akhirat iya amsari,aplikasi bikin kisruh negara tanggung akhirat iya amsari,"['aplikasi', 'bikin', 'kisruh', 'negara', 'tanggung', 'akhirat', 'iya', 'amsari']",aplikasi bikin kisruh negara tanggung akhirat iya amsari,negatif,,
Sudah login,1,2024-02-22 20:55:31,sudah login,sudah login,login,['login'],login,netral,,
Oke,5,2024-02-22 18:32:30,oke,oke,oke,['oke'],oke,positif,,
Oke,5,2024-02-22 16:21:27,oke,oke,oke,['oke'],oke,positif,,
Gak bisa dibuka,1,2024-02-22 16:19:46,gak bisa dibuka,tidak bisa dibuka,dibuka,['dibuka'],buka,negatif,,
"Account is disabled, contact your administrator... Artinya... Knap tdak bsa login",1,2024-02-22 16:17:19,account is disabled contact your administrator artinya knap tdak bsa login,account is disabled contact your administrator artinya knap tdak bsa login,account is disabled contact your administrator knap tdak bsa login,"['account', 'is', 'disabled', 'contact', 'your', 'administrator', 'knap', 'tdak', 'bsa', 'login']",account is disabled contact your administrator knap tdak bsa login,negatif,,
Oke,5,2024-02-22 16:06:55,oke,oke,oke,['oke'],oke,positif,,
apk gagal,1,2024-02-22 16:01:39,apk gagal,aplikasi gagal,aplikasi gagal,"['aplikasi', 'gagal']",aplikasi gagal,negatif,,
Oke,5,2024-02-22 15:55:19,oke,oke,oke,['oke'],oke,positif,,
Lempar batu sembunyi tangan ..,1,2024-02-22 15:53:58,lempar batu sembunyi tangan,lempar batu sembunyi tangan,lempar batu sembunyi tangan,"['lempar', 'batu', 'sembunyi', 'tangan']",lempar batu sembunyi tangan,netral,,
Aplikasi jelek curang,1,2024-02-22 15:53:49,aplikasi jelek curang,aplikasi buruk curang,aplikasi buruk curang,"['aplikasi', 'buruk', 'curang']",aplikasi buruk curang,negatif,,
"sialan bikin ngumet endas ku susah masuk sudah cara papun donload segalagala,gagal terus",1,2024-02-22 15:29:15,sialan bikin ngumet endas ku susah masuk sudah cara papun donload segalagalagagal terus,sialan bikin ngumet endas ku susah masuk sudah cara papun donload segalagalagagal terus,sialan bikin ngumet endas ku susah masuk papun donload segalagalagagal,"['sialan', 'bikin', 'ngumet', 'endas', 'ku', 'susah', 'masuk', 'papun', 'donload', 'segalagalagagal']",sial bikin ngumet endas ku susah masuk papun donload segalagalagagal,negatif,,
Oke,5,2024-02-22 15:07:57,oke,oke,oke,['oke'],oke,positif,,
Oke,5,2024-02-22 15:04:20,oke,oke,oke,['oke'],oke,positif,,
Tidak bisa diupdate,1,2024-02-22 14:58:55,tidak bisa diupdate,tidak bisa diupdate,diupdate,['diupdate'],diupdate,negatif,,
"Mohon kalo mau bikin aplikasi tuh ya jangan main main, mohon di perhatikan aspek aspek yang harus di liat dalam pembuatan aplikasi. Human eror gak tau kali orang capek ya. Dikira hp kita camera nya bagus, besok besok kalo bisa mah di kasih kamera bagus yang harganya 20 juta ke atas 💩🖕",1,2024-02-22 14:53:54,mohon kalo mau bikin aplikasi tuh ya jangan main main mohon di perhatikan aspek aspek yang harus di liat dalam pembuatan aplikasi human eror gak tau kali orang capek ya dikira hp kita camera nya bagus besok besok kalo bisa mah di kasih kamera bagus yang harganya 20 juta ke atas,mohon kalau ingin bikin aplikasi tuh iya jangan main main mohon di perhatikan aspek aspek yang harus di liat dalam pembuatan aplikasi human error tidak tau kali orang capek iya dikira hp kita camera nya bagus besok besok kalau bisa mah di kasih kamera bagus yang harganya 20 juta ke atas,mohon bikin aplikasi tuh iya main main mohon perhatikan aspek aspek liat pembuatan aplikasi human error tau kali orang capek iya hp camera nya bagus besok besok mah kasih kamera bagus harganya 20 juta,"['mohon', 'bikin', 'aplikasi', 'tuh', 'iya', 'main', 'main', 'mohon', 'perhatikan', 'aspek', 'aspek', 'liat', 'pembuatan', 'aplikasi', 'human', 'error', 'tau', 'kali', 'orang', 'capek', 'iya', 'hp', 'camera', 'nya', 'bagus', 'besok', 'besok', 'mah', 'kasih', 'kamera', 'bagus', 'harganya', '20', 'juta']",mohon bikin aplikasi tuh iya main main mohon perhati aspek aspek liat buat aplikasi human error tau kali orang capek iya hp camera nya bagus besok besok mah kasih kamera bagus harga 20 juta,negatif,,
"Aplikasi gagal, kalau belum siap jangan dipaksakan lah bukannya membantu tapi malah menyusahkan",1,2024-02-22 14:50:05,aplikasi gagal kalau belum siap jangan dipaksakan lah bukannya membantu tapi malah menyusahkan,aplikasi gagal kalau belum siap jangan dipaksakan lah bukannya membantu tapi malah menyusahkan,aplikasi gagal dipaksakan membantu menyusahkan,"['aplikasi', 'gagal', 'dipaksakan', 'membantu', 'menyusahkan']",aplikasi gagal paksa bantu susah,negatif,,
Aplikasi ga guna,1,2024-02-22 14:46:41,aplikasi ga guna,aplikasi tidak guna,aplikasi,['aplikasi'],aplikasi,negatif,,
"Apk gajelas,",1,2024-02-22 14:38:03,apk gajelas,aplikasi gajelas,aplikasi gajelas,"['aplikasi', 'gajelas']",aplikasi gajelas,positif,,
nyusahin,1,2024-02-22 14:30:14,nyusahin,nyusahin,nyusahin,['nyusahin'],nyusahin,negatif,,
APLIKASI DAJJAL,1,2024-02-22 14:21:20,aplikasi dajjal,aplikasi dajjal,aplikasi dajjal,"['aplikasi', 'dajjal']",aplikasi dajjal,negatif,,
Lah apk nya yang prematur kog.. di paksakan di pakai,1,2024-02-22 14:09:38,lah apk nya yang prematur kog di paksakan di pakai,lah aplikasi nya yang prematur kog di paksakan di pakai,aplikasi nya prematur kog paksakan pakai,"['aplikasi', 'nya', 'prematur', 'kog', 'paksakan', 'pakai']",aplikasi nya prematur kog paksa pakai,negatif,,
"Aplikasi ampas banyak bug, Server down mulu, foto c hasil udah di upload berminggu minggu ga kedetek dan ga bisa di ubah angkanya, bahkan ada beberapa yang ga ke upload pdhal di aplikasi tulisanya udah berhasil upload, Dana aja gede 2,8 Miliar bikin aplikasi gini kemana tuh lari uanganya",1,2024-02-22 13:59:32,aplikasi ampas banyak bug server down mulu foto c hasil udah di upload berminggu minggu ga kedetek dan ga bisa di ubah angkanya bahkan ada beberapa yang ga ke upload pdhal di aplikasi tulisanya udah berhasil upload dana aja gede 28 miliar bikin aplikasi gini kemana tuh lari uanganya,aplikasi ampas banyak bug server down mulu foto c hasil sudah di upload berminggu minggu tidak kedetek dan tidak bisa di ubah angkanya bahkan ada beberapa yang tidak ke upload pdhal di aplikasi tulisanya sudah berhasil upload dana saja gede 28 miliar bikin aplikasi begini kemana tuh lari uanganya,aplikasi ampas bug server down mulu foto c hasil upload berminggu minggu kedetek ubah angkanya upload pdhal aplikasi tulisanya berhasil upload dana gede 28 miliar bikin aplikasi kemana tuh lari uanganya,"['aplikasi', 'ampas', 'bug', 'server', 'down', 'mulu', 'foto', 'c', 'hasil', 'upload', 'berminggu', 'minggu', 'kedetek', 'ubah', 'angkanya', 'upload', 'pdhal', 'aplikasi', 'tulisanya', 'berhasil', 'upload', 'dana', 'gede', '28', 'miliar', 'bikin', 'aplikasi', 'kemana', 'tuh', 'lari', 'uanganya']",aplikasi ampas bug server down mulu foto c hasil upload minggu minggu kedetek ubah angka upload pdhal aplikasi tulisanya hasil upload dana gede 28 miliar bikin aplikasi mana tuh lari uanganya,negatif,,
Aplikasi sekelas buatan negara tapi kayak sampah. Nyusahin idup orang,1,2024-02-22 13:49:14,aplikasi sekelas buatan negara tapi kayak sampah nyusahin idup orang,aplikasi sekelas buatan negara tapi kayak sampah nyusahin idup orang,aplikasi sekelas buatan negara kayak sampah nyusahin idup orang,"['aplikasi', 'sekelas', 'buatan', 'negara', 'kayak', 'sampah', 'nyusahin', 'idup', 'orang']",aplikasi kelas buat negara kayak sampah nyusahin idup orang,negatif,,
Aplikasi yg di ciptakan untuk menyusah kan KPPS 50k sama sekali gak worth it F,1,2024-02-22 13:47:05,aplikasi yg di ciptakan untuk menyusah kan kpps 50k sama sekali gak worth it f,aplikasi yang di ciptakan untuk menyusah kan kpps 50k sama sekali tidak worth it f,aplikasi ciptakan menyusah kpps 50k worth it f,"['aplikasi', 'ciptakan', 'menyusah', 'kpps', '50k', 'worth', 'it', 'f']",aplikasi cipta susah kpps 50k worth it f,negatif,,
Apk zonk kaya begini bisa-bisanya nyalahin pengguna sirekap yg sdm rendah. Benerin dulu apkmu yg gak seberapa ini,1,2024-02-22 13:22:52,apk zonk kaya begini bisabisanya nyalahin pengguna sirekap yg sdm rendah benerin dulu apkmu yg gak seberapa ini,aplikasi zonk kaya begini bisabisanya nyalahin pengguna sirekap yang sdm rendah benerin dulu apkmu yang tidak seberapa ini,aplikasi zonk kaya bisabisanya nyalahin pengguna sirekap sdm rendah benerin apkmu,"['aplikasi', 'zonk', 'kaya', 'bisabisanya', 'nyalahin', 'pengguna', 'sirekap', 'sdm', 'rendah', 'benerin', 'apkmu']",aplikasi zonk kaya bisabisanya nyalahin guna sirekap sdm rendah benerin apkmu,negatif,,
Aplikasi apaan nih? Gk mutu dan gk adil,1,2024-02-22 12:44:11,aplikasi apaan nih gk mutu dan gk adil,aplikasi apaan nih tidak mutu dan tidak adil,aplikasi nih mutu adil,"['aplikasi', 'nih', 'mutu', 'adil']",aplikasi nih mutu adil,negatif,,
